type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,found,x
T,12/04/2021 10:31,52.35877144,4.947653711,0,0.4,135.48,135.9,1.506,1.85,,,,
T,12/04/2021 10:31,52.35875971,4.947671983,-0.4,0.6,101.63,136.4,1.507,1.8,,,,
T,12/04/2021 10:31,52.35876272,4.947662344,-0.1,0.3,203.38,297.1,1.508,0.74,,,,
T,12/04/2021 10:31,52.35870003,4.947683802,0.5,3.7,16.37,168.2,1.515,7.13,,,,
T,12/04/2021 10:31,52.35860447,4.947746079,0.9,5.9,10.19,158.3,1.527,11.45,,,,
T,12/04/2021 10:31,52.35854404,4.947776254,1.5,8.4,7.11,163,1.534,7.03,,,,
T,12/04/2021 10:31,52.3585334,4.94787164,1.4,5.9,10.09,100.4,1.54,6.61,,,,
T,12/04/2021 10:31,52.35862794,4.948114967,1.4,8.8,6.79,57.5,1.56,19.63,,,,
T,12/04/2021 10:32,52.35868519,4.94831848,1.5,7.8,7.65,65.3,1.575,15.26,,,,
T,12/04/2021 10:32,52.35869374,4.948341111,1.5,6.5,9.2,58.3,1.577,1.81,,,,
T,12/04/2021 10:32,52.35877379,4.948292328,1.6,5.7,10.52,339.6,1.586,9.51,,,,
T,12/04/2021 10:32,52.35882349,4.94827087,1.1,3.4,17.48,345.2,1.592,5.72,,,,
T,12/04/2021 10:32,52.35884554,4.948278414,2,1.1,53.2,11.8,1.595,2.51,,,,
T,12/04/2021 10:32,52.35876239,4.94833516,1.9,6,9.97,157.4,1.605,10.03,,,,
T,12/04/2021 10:32,52.35873875,4.948358042,1.6,5.5,10.9,149.4,1.608,3.06,,,,
T,12/04/2021 10:32,52.35875141,4.948475808,1.9,5.9,10.23,80,1.616,8.15,,,,
T,12/04/2021 10:32,52.35882819,4.948748304,2.2,9.2,6.52,65.2,1.636,20.44,,,,
T,12/04/2021 10:32,52.35892785,4.948873362,1.9,10.1,5.96,37.5,1.65,13.98,,,,
T,12/04/2021 10:32,52.35906137,4.948884845,2,8.9,6.72,3,1.665,14.88,,,,
T,12/04/2021 10:33,52.35925374,4.948932622,1.5,9.7,6.16,8.6,1.687,21.65,,,,
T,12/04/2021 10:33,52.35933269,4.948938824,1.9,5.3,11.37,2.7,1.696,8.8,,,,
T,12/04/2021 10:33,52.35936044,4.949007724,1.9,5.1,11.87,56.6,1.701,5.62,,,,
T,12/04/2021 10:33,52.35945046,4.949116772,1.8,5.6,10.69,36.5,1.714,12.47,,,,
T,12/04/2021 10:33,52.35954023,4.949269323,2.1,5.8,10.41,46.1,1.728,14.41,,,,
T,12/04/2021 10:33,52.35961307,4.949405864,2,6.3,9.46,48.9,1.741,12.34,,,,
T,12/04/2021 10:33,52.35969898,4.949571826,2,6.7,9.01,49.7,1.755,14.81,,,,
T,12/04/2021 10:33,52.35979504,4.949750612,1.8,7.3,8.23,48.7,1.772,16.2,,,,
T,12/04/2021 10:34,52.35991096,4.950017994,2.1,7.3,8.21,54.6,1.794,22.32,,,,
T,12/04/2021 10:34,52.36002713,4.950264087,2.7,6.9,8.66,52.3,1.815,21.17,,,,
T,12/04/2021 10:34,52.36015605,4.950465169,2.8,6.5,9.24,43.6,1.835,19.84,,,,
T,12/04/2021 10:34,52.36016946,4.950674884,2.5,5.7,10.44,84,1.849,14.36,,,,
T,12/04/2021 10:34,52.36017918,4.950654935,3.4,2.1,28.78,308.6,1.851,1.74,,,,
T,12/04/2021 10:34,52.36023828,4.950591233,3,4.7,12.69,326.6,1.859,7.88,,,,
T,12/04/2021 10:34,52.36043986,4.950575223,3.2,8.1,7.42,357.2,1.881,22.46,,,,
T,12/04/2021 10:35,52.36064882,4.950686283,3,12.6,4.77,18,1.906,24.45,,,,
T,12/04/2021 10:35,52.36080347,4.950769683,3,10.9,5.52,18.2,1.924,18.12,,,,
T,12/04/2021 10:35,52.36079785,4.950754596,2.5,0.9,69.28,238.6,1.925,1.2,,,,
T,12/04/2021 10:35,52.36079525,4.950755686,2.4,1.1,55.84,165.6,1.925,0.3,,,,
T,12/04/2021 10:35,52.36085862,4.950772701,2.6,4.3,13.99,9.3,1.933,7.15,,,,
T,12/04/2021 10:35,52.36095225,4.950658875,2.5,4.7,12.83,323.4,1.945,12.99,,,,
T,12/04/2021 10:35,52.36100623,4.950574636,2.1,3,20.06,316.4,1.954,8.31,,,,
T,12/04/2021 10:35,52.36101796,4.950540522,1.9,3.2,18.76,299.4,1.956,2.67,,,,
T,12/04/2021 10:35,52.36103296,4.95050624,1.9,3.4,17.42,305.6,1.959,2.87,,,,
T,12/04/2021 10:35,52.36109247,4.950317815,2,5.2,11.54,297.3,1.974,14.44,,,,
T,12/04/2021 10:36,52.36108786,4.950126791,1.9,5.2,11.52,267.7,1.987,13.02,,,,
T,12/04/2021 10:36,52.36109264,4.949867036,1.8,10.6,5.65,271.7,2.005,17.7,,,,
T,12/04/2021 10:36,52.36110438,4.949782127,1.9,10.7,5.62,282.8,2.01,5.93,,,,
T,12/04/2021 10:36,52.36119381,4.949691016,2.2,6,9.95,328.1,2.022,11.73,,,,
T,12/04/2021 10:36,52.361312,4.949654304,2.4,4.4,13.7,349.3,2.036,13.39,,,,
T,12/04/2021 10:36,52.36131585,4.949650867,1.9,1.8,34.1,331.4,2.036,0.49,,,,
T,12/04/2021 10:36,52.36131845,4.949617591,2.6,4.1,14.59,277.3,2.038,2.29,,,,
T,12/04/2021 10:36,52.36135868,4.949515667,2,3.3,18.16,302.9,2.047,8.26,,,,
T,12/04/2021 10:36,52.36137109,4.949478703,2,3.4,17.41,298.8,2.049,2.87,,,,
T,12/04/2021 10:36,52.36142071,4.949403349,2.6,3.4,17.69,317.2,2.057,7.54,,,,
T,12/04/2021 10:37,52.36145684,4.949327074,2.1,2.6,22.83,307.8,2.064,6.57,,,,
T,12/04/2021 10:37,52.36149782,4.949208889,2.4,3.3,18.01,299.6,2.073,9.25,,,,
T,12/04/2021 10:37,52.36149866,4.949125825,2.2,2.5,23.56,270.9,2.078,5.66,,,,
T,12/04/2021 10:37,52.36149481,4.94896506,2.7,5.6,10.64,267.8,2.089,10.96,,,,
T,12/04/2021 10:37,52.36144963,4.948980985,2.9,4.6,12.96,167.9,2.095,5.14,,,,
T,12/04/2021 10:37,52.36139992,4.948978471,3.1,2.5,24.1,181.8,2.1,5.53,,,,
T,12/04/2021 10:37,52.36136455,4.948984087,2.9,3.6,16.86,174.5,2.104,3.95,,,,
T,12/04/2021 10:37,52.36134309,4.948991714,2.3,4.4,13.64,167.8,2.107,2.44,,,,
T,12/04/2021 10:37,52.361269,4.949024068,2.3,4.4,13.67,165.1,2.115,8.53,,,,
T,12/04/2021 10:38,52.36111762,4.949014597,2.4,10.1,5.93,182.2,2.132,16.86,,,,
T,12/04/2021 10:38,52.36108393,4.948998336,2.9,14.1,4.26,196.4,2.136,3.91,,,,
T,12/04/2021 10:38,52.36082233,4.948743191,2.4,15.3,3.93,210.8,2.17,33.9,,,,
T,12/04/2021 10:38,52.36063734,4.948556945,2.5,12.4,4.82,211.6,2.194,24.18,,,,
T,12/04/2021 10:38,52.36046962,4.948491734,2.3,11.5,5.21,193.4,2.213,19.18,,,,
T,12/04/2021 10:38,52.36027549,4.948432809,2.7,11.3,5.31,190.5,2.235,21.97,,,,
T,12/04/2021 10:38,52.36010894,4.948399281,3,11.2,5.36,187,2.254,18.67,,,,
T,12/04/2021 10:38,52.35993477,4.948372208,3,10,5.99,185.4,2.273,19.47,,,,
T,12/04/2021 10:38,52.35983284,4.948458038,2.5,9.2,6.53,152.8,2.286,12.76,,,,
T,12/04/2021 10:38,52.35976872,4.948538756,2.4,5.4,11.1,142.4,2.295,9.01,,,,
T,12/04/2021 10:39,52.3596642,4.948671274,2.7,5.3,11.32,142.3,2.31,14.72,,,,
T,12/04/2021 10:39,52.35953872,4.94876557,2.9,6.1,9.76,155.3,2.325,15.37,,,,
T,12/04/2021 10:39,52.35935139,4.948793482,2.6,7.5,7.96,174.8,2.346,20.93,,,,
T,12/04/2021 10:39,52.35922054,4.948855508,2.7,6.1,9.89,163.9,2.361,15.16,,,,
T,12/04/2021 10:39,52.35912717,4.948952487,2.5,4.9,12.18,147.6,2.373,12.31,,,,
T,12/04/2021 10:39,52.35899901,4.948874367,3.4,9.1,6.57,200.4,2.389,15.22,,,,
T,12/04/2021 10:39,52.35885241,4.948693905,3.3,12.3,4.9,216.9,2.409,20.43,,,,
T,12/04/2021 10:39,52.35874177,4.948529117,3.2,10,6,222.3,2.426,16.66,,,,
T,12/04/2021 10:40,52.35871713,4.948512102,3.7,5.4,11.2,202.9,2.429,2.98,,,,
T,12/04/2021 10:40,52.35867606,4.948596507,3.6,3.8,15.88,128.5,2.436,7.35,,,,
T,12/04/2021 10:40,52.35867363,4.948606817,3.6,2.7,22.14,111.1,2.437,0.75,,,15,1
T,12/04/2021 10:40,52.35863901,4.94871771,3.4,3.8,15.72,117.1,2.445,8.48,,,,
T,12/04/2021 10:40,52.35862945,4.948757524,3.6,5.2,11.44,111.5,2.448,2.91,,,,
T,12/04/2021 10:40,52.35854563,4.948914852,3.1,5.7,10.56,131.1,2.462,14.21,,,,
T,12/04/2021 10:40,52.35852175,4.949017698,3,5.4,11.12,110.8,2.47,7.49,,,,
T,12/04/2021 10:40,52.3585277,4.94906472,3.2,2.9,20.38,78.3,2.473,3.27,,,,
T,12/04/2021 10:40,52.3585168,4.949138649,3.2,2.7,22.52,103.6,2.478,5.18,,,,
T,12/04/2021 10:40,52.3585277,4.949144432,3.1,2.3,26.14,18,2.48,1.27,,,16,2
T,12/04/2021 10:40,52.35857212,4.949231436,3,4.6,12.96,50.1,2.487,7.72,,,,
T,12/04/2021 10:41,52.35853331,4.9492223,3.6,0.8,76.4,188.2,2.492,4.36,,,,
T,12/04/2021 10:41,52.35852074,4.949213583,3.4,0.3,197.38,202.9,2.493,1.52,,,,
T,12/04/2021 10:41,52.35853298,4.949245937,2.9,0.7,83.63,58.2,2.496,2.59,,,,
T,12/04/2021 10:41,52.35852946,4.949302431,3.4,1.2,51.7,95.8,2.5,3.87,,,,
T,12/04/2021 10:41,52.35852384,4.949348951,3.1,5.8,10.32,101.2,2.503,3.23,,,,
T,12/04/2021 10:42,52.35854681,4.949489683,3.3,3.6,16.8,75,2.513,9.92,,,,
T,12/04/2021 10:42,52.3585743,4.949634857,3.3,4.7,12.88,72.8,2.523,10.35,,,,
T,12/04/2021 10:42,52.35858411,4.94973368,3.5,3.1,19.55,80.8,2.53,6.82,,,,
T,12/04/2021 10:42,52.35856064,4.949841052,3.6,3.1,19.31,109.7,2.538,7.77,,,17,8
T,12/04/2021 10:42,52.35852325,4.950024281,3.4,5.3,11.4,108.5,2.551,13.16,,,,
T,12/04/2021 10:42,52.35848327,4.950105837,3.6,3.7,16.39,128.8,2.558,7.12,,,,
T,12/04/2021 10:43,52.35844304,4.950125366,3.5,1.3,46.39,163.5,2.563,4.67,,,,
T,12/04/2021 10:43,52.35843751,4.950128468,3.6,0.2,332.96,161.1,2.563,0.65,,,,
T,12/04/2021 10:43,52.35844572,4.950142465,3.9,0.5,113.56,46.1,2.565,1.32,,,,
T,12/04/2021 10:43,52.35844614,4.950191081,3.9,1.5,40.25,89.2,2.568,3.31,,,,
T,12/04/2021 10:43,52.35843524,4.950220082,3.6,0.8,79.08,121.6,2.57,2.32,,,,
T,12/04/2021 10:43,52.358422,4.950245228,4.2,1.4,44.25,130.8,2.573,2.26,,,,
T,12/04/2021 10:43,52.35841923,4.950259142,3.5,3.6,16.72,108,2.574,1,,,,
T,12/04/2021 10:43,52.35839736,4.95036928,4,3.2,19.01,108,2.582,7.89,,,,
T,12/04/2021 10:44,52.35839753,4.950451171,4,2.5,23.9,89.8,2.587,5.58,,,,
T,12/04/2021 10:44,52.35839761,4.950413453,3.5,3.1,19.46,270.2,2.59,2.57,,,,
T,12/04/2021 10:44,52.35841756,4.950343799,4.1,1.9,31.81,295.1,2.595,5.24,,,,
T,12/04/2021 10:44,52.35842493,4.95028697,3.7,1.8,33.69,282,2.599,3.96,,,,
T,12/04/2021 10:44,52.35842502,4.950277246,3.6,1.2,50.31,270.8,2.6,0.66,,,,
T,12/04/2021 10:44,52.35845838,4.950208431,3.8,2.2,27.87,308.4,2.606,5.98,,,,
T,12/04/2021 10:44,52.35845586,4.950236008,3.7,2.3,26.32,98.5,2.607,1.9,,,,
T,12/04/2021 10:44,52.35844329,4.950272972,4.1,5.2,11.57,119.1,2.61,2.88,,,,
T,12/04/2021 10:44,52.35840063,4.950530631,4.1,8.2,7.33,105.2,2.628,18.18,,,,
T,12/04/2021 10:44,52.35840079,4.950603973,4,2.6,23.35,89.8,2.633,5,,,,
T,12/04/2021 10:45,52.35838789,4.950681422,3.8,2.2,27.43,105.3,2.639,5.47,,,,
T,12/04/2021 10:45,52.35838235,4.950789045,4.2,2.9,20.39,94.8,2.646,7.36,,,,
T,12/04/2021 10:45,52.35839124,4.950928017,3.8,3.8,15.76,84,2.656,9.52,,,,
T,12/04/2021 10:45,52.35838101,4.951054668,4.3,3.1,19.15,97.5,2.665,8.7,,,,
T,12/04/2021 10:45,52.35836291,4.951065816,3.7,1,61.93,159.4,2.667,2.15,,,,
T,12/04/2021 10:45,52.35835251,4.951066235,3.8,0.5,129.65,178.6,2.668,1.16,,,18,1
T,12/04/2021 10:46,52.3583583,4.951050058,4,0.6,104.48,300.3,2.669,1.28,,,,
T,12/04/2021 10:46,52.35837188,4.95107864,3.8,1.1,54.1,52.1,2.672,2.46,,,,
T,12/04/2021 10:46,52.35836928,4.951157262,3.9,1.1,52.82,93.1,2.677,5.36,,,,
T,12/04/2021 10:46,52.35837104,4.951202525,4,2.8,21.58,86.4,2.68,3.09,,,,
T,12/04/2021 10:46,52.35834841,4.951286009,3.6,3.2,18.76,113.9,2.686,6.22,,,,
T,12/04/2021 10:46,52.35836978,4.95128559,3.9,0.7,91.09,359.3,2.689,2.38,,,19,3
T,12/04/2021 10:47,52.35837204,4.951298581,3.2,0.3,235.46,74.1,2.69,0.92,,,,
T,12/04/2021 10:47,52.35839266,4.951304113,3.4,4.2,14.34,9.3,2.692,2.33,,,,
T,12/04/2021 10:47,52.35841362,4.951352058,4,4.8,12.46,54.4,2.696,4.01,,,,
T,12/04/2021 10:47,52.35843642,4.951463956,3.6,3.6,16.6,71.6,2.704,8.03,,,,
T,12/04/2021 10:47,52.35845117,4.951545764,3.3,3,20.08,73.5,2.71,5.81,,,,
T,12/04/2021 10:47,52.35848118,4.951664535,3.2,3.2,19.04,67.5,2.718,8.75,,,,
T,12/04/2021 10:47,52.35848436,4.951678449,3.3,3.6,16.47,69.5,2.719,1.01,,,,
T,12/04/2021 10:47,52.35850364,4.951724969,3.5,2,30.48,55.8,2.723,3.83,,,,
T,12/04/2021 10:47,52.35854513,4.951726561,3.2,1.1,54.14,1.3,2.728,4.62,,,,
T,12/04/2021 10:47,52.35855754,4.951710803,3.1,3.1,19.06,322.2,2.73,1.75,,,,
T,12/04/2021 10:48,52.35859676,4.951691776,3.2,2,29.28,343.5,2.734,4.55,,,,
T,12/04/2021 10:48,52.35864211,4.951669481,2.8,2.1,28.47,343.3,2.74,5.27,,,,
T,12/04/2021 10:48,52.3586722,4.951648945,2.7,2.6,22.96,337.4,2.743,3.63,,,,
T,12/04/2021 10:48,52.35868637,4.951633355,3.4,3.4,17.54,326.1,2.745,1.9,,,,
T,12/04/2021 10:48,52.35871847,4.951593541,3,4,14.86,322.9,2.75,4.49,,,,
T,12/04/2021 10:48,52.35876122,4.951507039,3.5,5.5,11,309,2.757,7.57,,,,
T,12/04/2021 10:48,52.3589633,4.951274358,3.9,11,5.45,324.9,2.785,27.51,,,,
T,12/04/2021 10:48,52.35911887,4.951131195,4.4,10.2,5.87,330.7,2.804,19.87,,,,
T,12/04/2021 10:48,52.35929749,4.950989038,3.4,11.4,5.28,334.1,2.827,22.11,,,,
T,12/04/2021 10:49,52.359428,4.950865237,3.1,8.6,6.95,329.9,2.843,16.79,,,20,16
