type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc,found,distance
T,13/04/2021 09:40,52.36077908,4.95031287,18.2,3.6,16.47,135.3,2.508,9.11,,,,,
T,13/04/2021 09:40,52.36069911,4.950484196,18.6,4.8,12.49,127.4,2.523,14.68,,,,,
T,13/04/2021 09:40,52.36058864,4.950594502,18.9,5.2,11.57,148.6,2.537,14.41,,,,,
T,13/04/2021 09:41,52.36042637,4.950604225,18.9,4.6,12.91,177.9,2.555,18.07,,,,,
T,13/04/2021 09:41,52.36025286,4.950651582,19.1,5.4,11.07,170.5,2.575,19.57,,,,,
T,13/04/2021 09:41,52.36018212,4.950828357,19.3,5.8,10.43,123.2,2.589,14.39,,,,,
T,13/04/2021 09:41,52.36009687,4.950936986,19.4,4.3,13.85,142.1,2.601,12.03,,,,,
T,13/04/2021 09:41,52.36008983,4.950968334,19.1,2.7,21.98,110.2,2.604,2.27,,,,,
T,13/04/2021 09:41,52.36007885,4.951017117,18.6,4.2,14.12,110.2,2.607,3.54,,,,,
T,13/04/2021 09:41,52.35998841,4.95117872,19.4,5.4,11.17,132.5,2.622,14.92,,,,,
T,13/04/2021 09:42,52.35971575,4.951289026,18.6,4.3,13.8,189,2.654,9.66,,,,,
T,13/04/2021 09:42,52.35970284,4.951283578,18.6,5.3,11.23,194.5,2.656,1.48,,,,,
T,13/04/2021 09:42,52.3595689,4.951129518,18.7,5.5,10.97,215.1,2.674,18.23,,,,,
T,13/04/2021 09:42,52.35949145,4.95093774,18.8,6.3,9.58,236.5,2.69,15.65,,,,,
T,13/04/2021 09:42,52.35947955,4.950896669,18.7,1,59.22,244.6,2.693,3.1,,,,,
T,13/04/2021 09:42,52.35947217,4.950879989,19.2,0.5,118.9,234.1,2.694,1.4,,,,,
T,13/04/2021 09:43,52.35946219,4.950882336,17.6,0.5,118.9,171.8,2.695,1.12,,,,,
T,13/04/2021 09:43,52.35947133,4.950852496,17.9,0.8,73.33,296.6,2.698,2.27,,,,,
T,13/04/2021 09:43,52.35939246,4.950786196,18.2,5.9,10.13,207.2,2.708,9.87,,,,,
T,13/04/2021 09:43,52.35931844,4.95062652,18.2,4.9,12.22,232.8,2.721,13.64,,,,,
T,13/04/2021 09:43,52.35926765,4.950534655,18,4.3,13.83,227.8,2.73,8.43,,,,,
T,13/04/2021 09:43,52.35923572,4.950460224,18.1,4.5,13.46,234.9,2.736,6.19,,,,,
T,13/04/2021 09:43,52.3591705,4.950345475,18.3,4.8,12.5,227.1,2.746,10.67,,,,,
T,13/04/2021 09:43,52.35911426,4.950214047,17.9,5.6,10.68,235,2.757,10.92,,,,,
T,13/04/2021 09:44,52.35892416,4.949809788,17.2,6.1,9.85,234.4,2.792,15.23,,,,,
T,13/04/2021 09:44,52.35889692,4.949743403,17.4,4.9,12.24,236.1,2.798,5.44,,,,,
T,13/04/2021 09:44,52.35891134,4.949679533,17,2.1,28.75,290.3,2.802,4.64,,,,,
T,13/04/2021 09:44,52.35890555,4.949652711,17.3,0.5,120.44,250.6,2.804,1.94,,,,,
T,13/04/2021 09:44,52.3588996,4.949621363,16.8,0.8,74.54,252.7,2.806,2.24,,,,,
T,13/04/2021 09:45,52.35890094,4.949607281,16.1,0.4,137.33,278.9,2.807,0.97,,,,,
T,13/04/2021 09:45,52.35886557,4.94958356,16.8,3.1,19.59,202.3,2.812,4.25,,,,,
T,13/04/2021 09:45,52.3588628,4.949536705,16.7,3.8,15.59,264.5,2.815,3.21,,,,,
T,13/04/2021 09:45,52.35886121,4.949439978,17.4,4.7,12.64,268.5,2.821,6.59,,,,,
T,13/04/2021 09:45,52.35890161,4.9492741,17.4,5.5,10.96,291.7,2.834,12.16,,,,,
T,13/04/2021 09:45,52.3589307,4.949068157,17.2,5.8,10.42,283,2.848,14.4,,,,,
T,13/04/2021 09:45,52.35885954,4.948882163,17.3,6,10.04,237.9,2.863,14.94,,,,,
T,13/04/2021 09:45,52.35878594,4.948706729,17.2,5.8,10.35,235.5,2.877,14.49,,,,,
T,13/04/2021 09:45,52.35871537,4.948568009,17.3,5.5,10.85,230.2,2.89,12.29,,,,,
T,13/04/2021 09:46,52.35865678,4.948605141,16.7,3.6,16.68,158.8,2.897,6.99,,,,,
T,13/04/2021 09:46,52.3586235,4.948662976,17.1,2.4,24.66,133.3,2.902,5.41,,,,,
T,13/04/2021 09:46,52.35861017,4.948742101,17.2,2,29.81,105.4,2.908,5.59,,,,,
T,13/04/2021 09:46,52.35859358,4.948810833,17.4,1.8,33.11,111.6,2.913,5.03,,,,,
T,13/04/2021 09:46,52.35858184,4.948909488,17.9,2.2,26.78,101,2.92,6.85,,,,,
T,13/04/2021 09:46,52.35859861,4.948999342,17.7,2.3,26.04,73,2.926,6.4,,,,,
T,13/04/2021 09:47,52.35861755,4.949090704,17.5,2.4,25.36,71.2,2.933,6.57,,,,,
T,13/04/2021 09:47,52.35862618,4.949116856,17.6,0.9,65.87,61.6,2.935,2.02,,,,,
T,13/04/2021 09:47,52.35861671,4.949240908,17.5,3.4,17.61,97.1,2.943,8.52,,,,,
T,13/04/2021 09:47,52.35864739,4.949343838,18.2,2.8,21.37,64,2.951,7.8,,,,,
T,13/04/2021 09:47,52.35865259,4.94943344,17.9,2.5,24.46,84.6,2.957,6.13,,,,,
T,13/04/2021 09:47,52.35865301,4.949519355,17.7,2.1,28.47,89.5,2.963,5.85,,,,,
T,13/04/2021 09:47,52.35865921,4.949643239,17.9,3,19.68,85.3,2.971,8.47,,,,,
T,13/04/2021 09:48,52.35861193,4.949923279,18.7,4.8,12.54,96.6,2.991,10.63,,,,,
T,13/04/2021 09:48,52.35860892,4.950046158,18.6,3.4,17.9,92.3,3,8.38,,,,,
T,13/04/2021 09:48,52.35860447,4.950127546,18.5,2,29.94,95.1,3.005,5.57,,,,,
T,13/04/2021 09:48,52.35861336,4.950139364,18.3,0.5,130.72,39.1,3.007,1.28,,,,,
T,13/04/2021 09:48,52.35862794,4.950161995,18.7,0.7,81.9,43.5,3.009,2.24,,,,,
T,13/04/2021 09:49,52.35863146,4.950221674,18.6,1.3,44.88,84.5,3.013,4.08,,,,,
T,13/04/2021 09:49,52.35862057,4.950261489,19.2,1.1,56.1,114.1,3.016,2.97,,,,,
T,13/04/2021 09:49,52.3586064,4.950330304,18.9,1.8,33.7,108.6,3.021,4.95,,,,,
T,13/04/2021 09:49,52.35860623,4.950364754,19.3,4.2,14.2,90.5,3.023,2.35,,,,,
T,13/04/2021 09:49,52.35862057,4.950478161,19.6,3.6,16.9,78.3,3.031,7.89,,,,,
T,13/04/2021 09:49,52.35860514,4.950620486,19.9,3.5,16.93,100.1,3.041,9.85,,,,,
T,13/04/2021 09:49,52.35860305,4.950784519,19.8,4,14.91,91.2,3.052,11.18,,,,,
T,13/04/2021 09:50,52.35858318,4.950997755,19.8,2.2,27.08,117.1,3.067,4.31,,,,,
T,13/04/2021 09:50,52.35859525,4.95102508,19.9,0.5,123.43,54.1,3.069,2.3,,,,,
T,13/04/2021 09:50,52.35858176,4.951029858,20,0.7,86.78,167.8,3.071,1.54,,,,,
T,13/04/2021 09:50,52.35858117,4.951061122,19.8,1.1,54.75,91.8,3.073,2.13,,,,,
T,13/04/2021 09:50,52.3585805,4.951069588,19.4,0.3,171.95,97.4,3.074,0.58,,,,,
T,13/04/2021 09:51,52.35856466,4.951137984,20.1,2,30.11,110.8,3.079,4.98,,,,,
T,13/04/2021 09:51,52.35855485,4.951242758,20.2,2.9,20.77,98.7,3.086,7.22,,,,,
T,13/04/2021 09:51,52.35856365,4.951262455,20.3,2,30.1,53.8,3.088,1.66,,,,,
T,13/04/2021 09:51,52.35856726,4.95135013,20.2,2.7,22.27,86.1,3.093,5.99,,,,,
T,13/04/2021 09:51,52.35856189,4.951443505,20.3,3.3,18.26,95.4,3.1,6.39,,,,,
T,13/04/2021 09:51,52.35856835,4.951595049,20.3,3.4,17.71,86,3.11,10.35,,,,,
T,13/04/2021 09:51,52.35855812,4.951673001,20.4,2.4,24.55,102.1,3.116,5.43,,,,,
T,13/04/2021 09:51,52.35859039,4.951791018,20.1,3.5,17.03,65.9,3.124,8.81,,,,,
T,13/04/2021 09:52,52.35863557,4.951971229,20.8,2.9,20.5,68,3.138,6.5,,,,,
T,13/04/2021 09:52,52.35868,4.952084133,20.6,3.3,18.23,57.2,3.147,9.14,,,,,
T,13/04/2021 09:52,52.35870673,4.952191841,20.3,4.1,14.73,67.9,3.155,7.92,,,,,
T,13/04/2021 09:52,52.35870908,4.952207431,20.8,3.9,15.24,76.2,3.156,1.09,,,,,
T,13/04/2021 09:52,52.35870103,4.952341039,21,4.7,12.76,95.6,3.165,9.15,,,,,
T,13/04/2021 09:52,52.35868678,4.952400299,23.3,2.2,26.9,111.5,3.169,4.34,,,,,
T,13/04/2021 09:52,52.35871025,4.952475736,22.5,1.6,37.58,63,3.175,5.76,,,,,
T,13/04/2021 09:53,52.35873649,4.952508844,22.7,0.9,67.77,37.6,3.179,3.69,,,,,
T,13/04/2021 09:53,52.35875719,4.952539271,22.1,1.2,48.4,41.9,3.182,3.1,,,,,
T,13/04/2021 09:53,52.35874546,4.952550503,23,0.5,121.14,149.7,3.183,1.51,,,,,
T,13/04/2021 09:53,52.35874839,4.952560896,22.8,0.4,171,65.2,3.184,0.78,,,,,
T,13/04/2021 09:53,52.3587525,4.952552849,21.9,1.3,46.7,309.9,3.185,0.71,,,,,
T,13/04/2021 09:53,52.35875325,4.952587467,21.7,0.9,63.56,88,3.187,2.36,,,,,
T,13/04/2021 09:54,52.35875904,4.952672962,22,2.3,25.6,83.7,3.193,5.86,,,,,
T,13/04/2021 09:54,52.35876633,4.952683607,21.9,0.8,76.57,41.7,3.194,1.09,,,,,
T,13/04/2021 09:54,52.35882257,4.952711184,21.9,3.4,17.85,16.7,3.201,6.53,,,,,
T,13/04/2021 09:54,52.35889331,4.952731887,21.6,4.1,14.59,10.1,3.209,8,,,,,
T,13/04/2021 09:54,52.35890723,4.952758374,21.6,4.3,14.02,49.3,3.211,2.38,,,,,
T,13/04/2021 09:54,52.35895542,4.95279341,21.6,3,19.87,23.9,3.217,5.87,,,,,
T,13/04/2021 09:54,52.35905509,4.952800199,21.3,4,15.02,2.4,3.228,11.1,,,,,
T,13/04/2021 09:54,52.3591244,4.952814868,21.9,3.5,17.14,7.4,3.236,7.78,,,,,
T,13/04/2021 09:54,52.35921241,4.952770192,21.6,4.1,14.63,342.8,3.246,10.26,,,,,
T,13/04/2021 09:55,52.35923437,4.952722667,21.2,1.8,32.87,307.1,3.25,4.06,,,,,
T,13/04/2021 09:55,52.35932297,4.952644212,21.5,3.4,17.83,331.6,3.261,11.21,,,,,
T,13/04/2021 09:55,52.35935558,4.952630047,21.2,1.4,44.39,345.1,3.265,3.75,,,,,
T,13/04/2021 09:55,52.35943914,4.952612361,21,3.8,16,352.6,3.275,9.38,,,,,
T,13/04/2021 09:55,52.35947301,4.952612696,21.4,1.7,35.38,0.3,3.278,3.77,,,,,
T,13/04/2021 09:55,52.35950385,4.952539103,21.7,2.4,24.69,304.5,3.284,6.08,,,,,
T,13/04/2021 09:55,52.35954006,4.952486632,21.7,3.2,18.57,318.5,3.29,5.39,,,,,
T,13/04/2021 09:56,52.35965012,4.952478753,21.1,1.8,33.69,18.1,3.302,2.47,,,,,
T,13/04/2021 09:56,52.35967007,4.952483196,21.4,0.5,119.03,7.7,3.304,2.24,,,,,
T,13/04/2021 09:56,52.35970208,4.952474395,21.8,2.2,27.68,350.5,3.308,3.61,,,,,
T,13/04/2021 09:56,52.35971835,4.952469533,21.4,0.9,63.42,349.7,3.31,1.84,,,,,
T,13/04/2021 09:56,52.35974735,4.95247188,21.6,1.1,56.74,2.8,3.313,3.23,,,,,
T,13/04/2021 09:57,52.35977769,4.952465259,21.3,0.6,99.09,331.2,3.317,1.68,,,,,
T,13/04/2021 09:57,52.35978909,4.95245805,21.4,0.5,122.53,338.9,3.318,1.36,,,,,
T,13/04/2021 09:57,52.35977878,4.952424774,21.6,3,19.68,243.1,3.321,2.54,,,,,
T,13/04/2021 09:57,52.35976964,4.952335339,21.9,3.7,16.19,260.5,3.327,6.18,,,,,
T,13/04/2021 09:57,52.35979144,4.952283371,21.7,5.1,11.65,304.5,3.331,4.29,,,,,
T,13/04/2021 09:57,52.35980116,4.952250682,21.4,1.5,40.39,296,3.334,2.48,,,,,
T,13/04/2021 09:57,52.35979085,4.952264009,21.2,2.6,22.78,141.7,3.335,1.46,,,,,
T,13/04/2021 09:57,52.35978054,4.952294351,21.7,0.9,70.5,119.1,3.337,2.36,,,,,
T,13/04/2021 09:58,52.35975598,4.952287646,21.2,0.5,114.29,189.5,3.34,2.77,,,,,
T,13/04/2021 09:58,52.35974257,4.952271804,21.2,3.3,18.1,215.8,3.342,1.84,,,,,
T,13/04/2021 09:58,52.35969982,4.952213801,21.1,2.5,24.26,219.6,3.348,6.18,,,,,
T,13/04/2021 09:58,52.35966814,4.952194942,21.7,0.7,84.39,200,3.352,3.75,,,,,
T,13/04/2021 09:58,52.35966713,4.952185471,21.7,2.4,25.45,260.1,3.353,0.65,,,,,
T,13/04/2021 09:58,52.35964584,4.952105172,21.4,2.7,22.37,246.5,3.359,5.96,,,,,
T,13/04/2021 09:59,52.35962556,4.952087151,21.4,0.7,90.81,208.5,3.361,2.57,,,,,
T,13/04/2021 09:59,52.35961231,4.952023113,21.3,1.8,32.57,251.3,3.366,4.6,,,,,
T,13/04/2021 09:59,52.35961324,4.951975169,21.1,3.9,15.3,271.8,3.369,3.27,,,,,
T,13/04/2021 09:59,52.35965582,4.951838963,21,4.2,14.4,297.1,3.379,10.42,,,,,
T,13/04/2021 09:59,52.35965515,4.951822869,20.9,4,15.17,266.1,3.381,1.1,,,,,
T,13/04/2021 09:59,52.35964207,4.951787079,21,5.1,11.74,239.1,3.383,2.84,,,,,
T,13/04/2021 09:59,52.35955775,4.951678449,20.7,4.8,12.55,218.2,3.395,11.95,,,,,
T,13/04/2021 09:59,52.35946831,4.951680964,20.7,4,15.07,179,3.405,9.95,,,,,
T,13/04/2021 09:59,52.35935474,4.951772494,20.4,4.6,13.01,153.8,3.419,14.09,,,,,
T,13/04/2021 10:00,52.35927779,4.95178666,20.7,3.4,17.41,173.6,3.428,8.62,,,,,
