type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc,found,distance
T,12/04/2021 14:33,52.3595601,4.95239133,1.2,0.8,72.95,146,2.203,1.6,,,,,
T,12/04/2021 14:33,52.35953889,4.95244992,0.5,1.7,35.94,120.7,2.207,4.64,,,,,
T,12/04/2021 14:33,52.35952732,4.952491159,1.1,1.6,37.75,114.7,2.21,3.09,,,,,
T,12/04/2021 14:33,52.3594917,4.952554777,2.1,1.9,31.21,132.5,2.216,5.87,,,,,
T,12/04/2021 14:34,52.35948206,4.952536421,1.6,0.7,80.93,229.3,2.218,1.65,,,,,
T,12/04/2021 14:34,52.35946756,4.952528542,1.5,0.7,88.21,198.4,2.219,1.7,,,,,
T,12/04/2021 14:34,52.3594482,4.95253575,1.6,0.7,82.96,167.2,2.222,2.21,,,,,
T,12/04/2021 14:34,52.35944359,4.952547569,1.8,0.3,174.58,122.6,2.223,0.95,,,,,
T,12/04/2021 14:34,52.3594347,4.952549413,2,0.4,150.51,172.8,2.224,1,,,,,
T,12/04/2021 14:34,52.35942666,4.952548658,2.1,3.2,18.58,183.3,2.225,0.9,,,,,
T,12/04/2021 14:34,52.35940327,4.952551089,2,4.7,12.78,176.4,2.227,2.61,,,,,
T,12/04/2021 14:34,52.35927746,4.952597776,2.2,5.2,11.61,167.2,2.242,14.36,,,,,
T,12/04/2021 14:35,52.35926983,4.952589395,1.4,0.6,97.76,213.9,2.243,1.02,,,,,
T,12/04/2021 14:35,52.35923815,4.952591574,2,1.2,51.96,177.6,2.246,3.53,,,,,
T,12/04/2021 14:35,52.35921945,4.952603476,1.9,0.4,134.89,160.7,2.248,1.48,,,,,
T,12/04/2021 14:35,52.35920118,4.952599369,1.9,0.6,97.45,187.8,2.25,2.05,,,,,
T,12/04/2021 14:35,52.35915961,4.952595094,2,1.9,32.36,183.6,2.255,4.64,,,,,
T,12/04/2021 14:36,52.35910018,4.952590819,2.3,2.4,25.18,182.5,2.262,6.62,,,,,
